Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
PowerEdge Manufacturing,"Mississauga, ON",2020,January,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,February,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,March,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,April,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,May,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,June,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,July,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,August,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,September,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,October,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,November,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2020,December,12000,150000.0,150.0,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,January,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,February,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,March,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,April,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,May,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,June,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,July,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,August,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,September,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,October,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,November,12000,151666.66666666700,151.66666666666700,60,300
PowerEdge Manufacturing,"Mississauga, ON",2021,December,12000,151666.66666666700,151.66666666666700,60,300
