Company Name,Location,Year,Month,Gross Floor Area (m²),Monthly Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
Urban Tech Solutions,"Toronto, ON",2020,January,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,February,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,March,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,April,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,May,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,June,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,July,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,August,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,September,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,October,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,November,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2020,December,12000,150000.0,150,60,350
Urban Tech Solutions,"Toronto, ON",2021,January,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,February,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,March,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,April,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,May,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,June,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,July,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,August,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,September,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,October,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,November,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2021,December,12000,155000.0,155,62,360
Urban Tech Solutions,"Toronto, ON",2022,January,12000,160000.0,160,61,355
Urban Tech Solutions,"Toronto, ON",2022,February,12000,160000.0,160,61,355
Urban Tech Solutions,"Toronto, ON",2022,March,12000,160000.0,160,61,355
Urban Tech Solutions,"Toronto, ON",2022,April,12000,160000.0,160,61,355
